Timestamp,Name,CPU,Memory
2024-10-31 03:52:47,samdul-load_balancer-1,1.05%,89.45%
2024-10-31 03:52:47,samdul-blog-1,1.01%,89.80%
2024-10-31 03:52:51,samdul-load_balancer-1,0.27%,96.95%
2024-10-31 03:52:51,samdul-blog-1,0.27%,98.05%
2024-10-31 03:52:55,samdul-load_balancer-1,1.00%,96.86%
2024-10-31 03:52:55,samdul-blog-1,1.02%,97.46%
2024-10-31 03:52:59,samdul-load_balancer-1,0.74%,97.73%
2024-10-31 03:52:59,samdul-blog-1,1.55%,99.96%
2024-10-31 03:53:03,samdul-load_balancer-1,0.97%,97.60%
2024-10-31 03:53:03,samdul-blog-1,1.00%,98.71%
2024-10-31 03:53:07,samdul-load_balancer-1,0.52%,98.50%
2024-10-31 03:53:07,samdul-blog-1,0.34%,94.96%
2024-10-31 03:53:12,samdul-load_balancer-1,1.00%,98.22%
2024-10-31 03:53:12,samdul-blog-1,1.01%,87.54%
2024-10-31 03:53:16,samdul-load_balancer-1,0.13%,99.30%
2024-10-31 03:53:16,samdul-blog-1,1.01%,99.96%
2024-10-31 03:53:20,samdul-load_balancer-1,1.06%,99.00%
2024-10-31 03:53:20,samdul-blog-1,1.01%,95.82%
2024-10-31 03:53:24,samdul-load_balancer-1,0.23%,86.21%
2024-10-31 03:53:24,samdul-blog-1,0.07%,93.98%
2024-10-31 03:53:28,samdul-load_balancer-1,0.92%,86.15%
2024-10-31 03:53:28,samdul-blog-1,2.53%,100.00%
2024-10-31 03:53:32,samdul-load_balancer-1,0.74%,86.72%
2024-10-31 03:53:32,samdul-blog-1,1.99%,99.92%
2024-10-31 03:53:36,samdul-load_balancer-1,1.03%,86.43%
2024-10-31 03:53:36,samdul-blog-1,1.00%,97.46%
2024-10-31 03:53:40,samdul-load_balancer-1,0.86%,87.30%
2024-10-31 03:53:40,samdul-blog-1,1.87%,99.57%
2024-10-31 03:53:44,samdul-load_balancer-1,0.98%,87.05%
2024-10-31 03:53:44,samdul-blog-1,1.01%,91.05%
2024-10-31 03:53:48,samdul-load_balancer-1,0.73%,87.05%
2024-10-31 03:53:48,samdul-blog-1,1.01%,81.33%
2024-10-31 03:53:52,samdul-load_balancer-1,0.54%,87.48%
2024-10-31 03:53:52,samdul-blog-1,0.91%,81.33%
2024-10-31 03:53:56,samdul-load_balancer-1,0.96%,87.52%
2024-10-31 03:53:56,samdul-blog-1,2.31%,99.92%
2024-10-31 03:54:00,samdul-load_balancer-1,0.85%,87.73%
2024-10-31 03:54:00,samdul-blog-1,1.04%,95.98%
2024-10-31 03:54:04,samdul-load_balancer-1,0.83%,87.79%
2024-10-31 03:54:04,samdul-blog-1,1.04%,99.96%
2024-10-31 03:54:08,samdul-load_balancer-1,0.82%,87.42%
2024-10-31 03:54:08,samdul-blog-1,1.02%,99.88%
2024-10-31 03:54:12,samdul-load_balancer-1,0.09%,87.60%
2024-10-31 03:54:12,samdul-blog-1,0.21%,99.02%
2024-10-31 03:54:16,samdul-load_balancer-1,0.87%,86.89%
2024-10-31 03:54:16,samdul-blog-1,1.03%,91.91%
2024-10-31 03:54:20,samdul-load_balancer-1,1.00%,87.03%
2024-10-31 03:54:20,samdul-blog-1,1.01%,93.24%
2024-10-31 03:54:24,samdul-load_balancer-1,0.80%,87.34%
2024-10-31 03:54:24,samdul-blog-1,1.40%,100.00%
2024-10-31 03:54:28,samdul-load_balancer-1,1.02%,86.45%
2024-10-31 03:54:28,samdul-blog-1,1.03%,98.12%
2024-10-31 03:54:32,samdul-load_balancer-1,1.10%,86.89%
2024-10-31 03:54:32,samdul-blog-1,1.00%,96.72%
2024-10-31 03:54:36,samdul-load_balancer-1,0.22%,87.42%
2024-10-31 03:54:36,samdul-blog-1,1.52%,100.00%
2024-10-31 03:54:40,samdul-load_balancer-1,0.12%,87.40%
2024-10-31 03:54:40,samdul-blog-1,0.00%,100.00%
2024-10-31 03:54:44,samdul-load_balancer-1,0.13%,86.17%
2024-10-31 03:54:44,samdul-blog-1,1.42%,100.00%
2024-10-31 03:54:48,samdul-load_balancer-1,0.34%,89.20%
2024-10-31 03:54:52,samdul-load_balancer-1,1.00%,99.30%
2024-10-31 03:54:56,samdul-load_balancer-1,1.02%,100.00%
2024-10-31 03:55:00,samdul-load_balancer-1,1.00%,100.00%
2024-10-31 03:55:04,samdul-load_balancer-1,1.02%,99.75%
2024-10-31 03:55:08,samdul-load_balancer-1,1.01%,100.00%
2024-10-31 03:55:12,samdul-load_balancer-1,1.03%,97.52%
2024-10-31 03:55:16,samdul-load_balancer-1,1.01%,98.54%
2024-10-31 03:55:20,samdul-load_balancer-1,1.02%,97.34%
2024-10-31 03:55:24,samdul-load_balancer-1,0.95%,95.66%
2024-10-31 03:55:28,samdul-load_balancer-1,0.00%,99.75%
